"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"";"";"";"Komárom-Esztergom megye";"10575";"10498,0";
"";"";"";"Veszprém megye";"13127";"12881,0";
"";"";"";"Gyõr-Moson-Sopron megye";"13591";"13325,5";
"";"";"";"Vas megye";"8898";"8765,0";
"";"";"";"Zala megye";"10092";"9877,0";
"";"";"";"Baranya megye";"14363";"13995,0";
"";"";"";"Somogy megye";"11043";"10885,5";
"";"";"";"Tolna megye";"8042";"7922,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24810";"24308,0";
"";"";"";"Heves megye";"10225";"10020,0";
"";"";"";"Nógrád megye";"7296";"7142,5";
"";"";"";"Hajdú-Bihar megye";"18301";"17993,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19642";"19207,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12977";"12711,5";
"";"";"";"Bács-Kiskun megye";"17537";"17169,5";
"";"";"";"Békés megye";"12282";"12065,0";
"";"";"";"Csongrád megye";"13018";"12807,5";
"";"";"35 - 39 éves";"Budapest";"79072";"75320,0";
"";"";"";"Pest megye";"40037";"39141,0";
"";"";"";"Fejér megye";"19025";"18646,0";
"";"";"";"Komárom-Esztergom megye";"13866";"13556,0";
"";"";"";"Veszprém megye";"16675";"16419,5";
"";"";"";"Gyõr-Moson-Sopron megye";"18066";"17770,0";
"";"";"";"Vas megye";"11600";"11396,5";
"";"";"";"Zala megye";"13148";"12956,0";
"";"";"";"Baranya megye";"18012";"17884,0";
"";"";"";"Somogy megye";"14726";"14446,0";
"";"";"";"Tolna megye";"10801";"10581,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"30509";"30125,0";
"";"";"";"Heves megye";"13549";"13311,0";
"";"";"";"Nógrád megye";"9036";"8872,0";
"";"";"";"Hajdú-Bihar megye";"22538";"22395,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"23897";"23762,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"17588";"17228,5";
"";"";"";"Bács-Kiskun megye";"22315";"22064,0";
"";"";"";"Békés megye";"17078";"16734,0";
"";"";"";"Csongrád megye";"17699";"17375,0";
"";"";"40 - 44 éves";"Budapest";"72912";"74463,0";
"";"";"";"Pest megye";"38766";"39152,0";
"";"";"";"Fejér megye";"16603";"16800,5";
"";"";"";"Komárom-Esztergom megye";"11894";"12031,0";
"";"";"";"Veszprém megye";"14317";"14511,0";
"";"";"";"Gyõr-Moson-Sopron megye";"16469";"16636,5";
"";"";"";"Vas megye";"11080";"11152,5";
"";"";"";"Zala megye";"11502";"11629,5";
"";"";"";"Baranya megye";"15055";"15246,0";
"";"";"";"Somogy megye";"13115";"13206,5";
"";"";"";"Tolna megye";"9684";"9723,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"26318";"26580,0";
"";"";"";"Heves megye";"12061";"12200,5";
"";"";"";"Nógrád megye";"8181";"8277,0";
"";"";"";"Hajdú-Bihar megye";"19662";"19723,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20885";"20944,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"15457";"15633,0";
"";"";"";"Bács-Kiskun megye";"19786";"19912,0";
"";"";"";"Békés megye";"15165";"15245,5";
"";"";"";"Csongrád megye";"15824";"15943,5";
"";"";"45 - 49 éves";"Budapest";"70485";"70270,5";
"";"";"";"Pest megye";"33225";"33686,5";
"";"";"";"Fejér megye";"12856";"13134,5";
"";"";"";"Komárom-Esztergom megye";"10311";"10436,0";
"";"";"";"Veszprém megye";"11788";"11982,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14230";"14418,0";
"";"";"";"Vas megye";"8925";"9106,5";
"";"";"";"Zala megye";"8988";"9230,0";
"";"";"";"Baranya megye";"12273";"12424,0";
"";"";"";"Somogy megye";"10303";"10590,0";
"";"";"";"Tolna megye";"7755";"7984,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21401";"21566,0";
"";"";"";"Heves megye";"10306";"10393,0";
"";"";"";"Nógrád megye";"6964";"7003,0";
"";"";"";"Hajdú-Bihar megye";"15945";"16158,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"15069";"15560,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12767";"12911,0";
"";"";"";"Bács-Kiskun megye";"17191";"17322,0";
"";"";"";"Békés megye";"12680";"12820,5";
"";"";"";"Csongrád megye";"14195";"14237,0";
"";"";"50 - 54 éves";"Budapest";"57920";"59200,5";
"";"";"";"Pest megye";"28289";"28713,5";
"";"";"";"Fejér megye";"11656";"11717,5";
"";"";"";"Komárom-Esztergom megye";"9691";"9689,5";
"";"";"";"Veszprém megye";"10924";"10999,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12081";"12241,5";
"";"";"";"Vas megye";"7778";"7829,5";
"";"";"";"Zala megye";"8230";"8222,0";
"";"";"";"Baranya megye";"12036";"11942,5";
"";"";"";"Somogy megye";"9588";"9520,5";
"";"";"";"Tolna megye";"7083";"7005,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20877";"20724,5";
"";"";"";"Heves megye";"9392";"9425,5";
"";"";"";"Nógrád megye";"6933";"6906,5";
"";"";"";"Hajdú-Bihar megye";"14247";"14319,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"13333";"13275,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12175";"12181,5";
"";"";"";"Bács-Kiskun megye";"14985";"15018,5";
"";"";"";"Békés megye";"11520";"11619,0";
"";"";"";"Csongrád megye";"12522";"12681,0";
"";"";"55 - 59 éves";"Budapest";"46594";"46050,5";
"";"";"";"Pest megye";"23616";"23643,0";
"";"";"";"Fejér megye";"10669";"10524,5";
"";"";"";"Komárom-Esztergom megye";"8369";"8328,0";
"";"";"";"Veszprém megye";"9406";"9339,0";
"";"";"";"Gyõr-Moson-Sopron megye";"9992";"9899,0";
"";"";"";"Vas megye";"6517";"6511,5";
"";"";"";"Zala megye";"7413";"7276,5";
"";"";"";"Baranya megye";"11228";"11143,0";
"";"";"";"Somogy megye";"8558";"8450,5";
"";"";"";"Tolna megye";"6397";"6380,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20421";"20110,0";
"";"";"";"Heves megye";"9012";"8815,0";
"";"";"";"Nógrád megye";"6475";"6414,0";
"";"";"";"Hajdú-Bihar megye";"12948";"12885,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"12956";"12698,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"11414";"11340,5";
"";"";"";"Bács-Kiskun megye";"13622";"13499,0";
"";"";"";"Békés megye";"10739";"10620,0";
"";"";"";"Csongrád megye";"10793";"10761,5";
"";"";"60 - 64 éves";"Budapest";"47342";"46606,5";
"";"";"";"Pest megye";"22050";"22023,0";
"";"";"";"Fejér megye";"10287";"10298,0";
"";"";"";"Komárom-Esztergom megye";"7329";"7339,0";
"";"";"";"Veszprém megye";"9541";"9438,5";
"";"";"";"Gyõr-Moson-Sopron megye";"10265";"10145,5";
"";"";"";"Vas megye";"6755";"6673,0";
"";"";"";"Zala megye";"7914";"7784,5";
"";"";"";"Baranya megye";"10660";"10579,0";
"";"";"";"Somogy megye";"8986";"8845,0";
"";"";"";"Tolna megye";"6287";"6214,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18423";"18320,0";
"";"";"";"Heves megye";"8899";"8915,0";
"";"";"";"Nógrád megye";"5872";"5817,5";
"";"";"";"Hajdú-Bihar megye";"12444";"12430,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"12853";"12681,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"10845";"10770,0";
"";"";"";"Bács-Kiskun megye";"13638";"13466,0";
"";"";"";"Békés megye";"10186";"10142,0";
"";"";"";"Csongrád megye";"10571";"10464,0";
"";"";"65 - 69 éves";"Budapest";"41595";"41297,5";
"";"";"";"Pest megye";"18089";"17970,5";
"";"";"";"Fejér megye";"8018";"8017,5";
"";"";"";"Komárom-Esztergom megye";"6069";"6026,5";
"";"";"";"Veszprém megye";"7314";"7332,0";
"";"";"";"Gyõr-Moson-Sopron megye";"9268";"9203,5";
"";"";"";"Vas megye";"6012";"5942,5";
"";"";"";"Zala megye";"7082";"6967,5";
"";"";"";"Baranya megye";"8503";"8573,0";
"";"";"";"Somogy megye";"7633";"7577,0";
"";"";"";"Tolna megye";"5504";"5427,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"15086";"14911,5";
"";"";"";"Heves megye";"7187";"7159,5";
"";"";"";"Nógrád megye";"4797";"4766,0";
"";"";"";"Hajdú-Bihar megye";"10891";"10762,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"11460";"11253,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"9457";"9392,0";
"";"";"";"Bács-Kiskun megye";"11636";"11579,5";
"";"";"";"Békés megye";"9779";"9635,0";
"";"";"";"Csongrád megye";"9600";"9438,0";
"";"";"70 - 74 éves";"Budapest";"31548";"32580,0";
"";"";"";"Pest megye";"12881";"13498,0";
"";"";"";"Fejér megye";"5145";"5457,0";
"";"";"";"Komárom-Esztergom megye";"4075";"4286,5";
"";"";"";"Veszprém megye";"5175";"5409,0";
"";"";"";"Gyõr-Moson-Sopron megye";"6368";"6721,5";
"";"";"";"Vas megye";"4350";"4555,5";
"";"";"";"Zala megye";"4817";"5089,0";
"";"";"";"Baranya megye";"5882";"6171,5";
"";"";"";"Somogy megye";"5289";"5571,0";
"";"";"";"Tolna megye";"3802";"4040,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"10180";"10732,0";
"";"";"";"Heves megye";"5211";"5457,5";
"";"";"";"Nógrád megye";"3511";"3636,0";
"";"";"";"Hajdú-Bihar megye";"7295";"7734,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"7377";"7856,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"6147";"6521,5";
"";"";"";"Bács-Kiskun megye";"8144";"8600,0";
"";"";"";"Békés megye";"7067";"7476,0";
"";"";"";"Csongrád megye";"6681";"7087,5";
"";"";"75 - 79 éves";"Budapest";"19886";"18583,0";
"";"";"";"Pest megye";"7050";"6583,5";
"";"";"";"Fejér megye";"2619";"2429,5";
"";"";"";"Komárom-Esztergom megye";"2102";"1953,0";
"";"";"";"Veszprém megye";"2696";"2512,5";
"";"";"";"Gyõr-Moson-Sopron megye";"3450";"3222,5";
"";"";"";"Vas megye";"2371";"2222,0";
"";"";"";"Zala megye";"2367";"2205,5";
"";"";"";"Baranya megye";"2903";"2651,5";
"";"";"";"Somogy megye";"2655";"2463,5";
"";"";"";"Tolna megye";"1860";"1715,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"5196";"4856,0";
"";"";"";"Heves megye";"2756";"2521,0";
"";"";"";"Nógrád megye";"1818";"1732,5";
"";"";"";"Hajdú-Bihar megye";"3798";"3501,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"3409";"3176,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"3516";"3236,0";
"";"";"";"Bács-Kiskun megye";"4484";"4131,5";
"";"";"";"Békés megye";"3963";"3630,0";
"";"";"";"Csongrád megye";"4006";"3660,0";
"";"";"80 - 84 éves";"Budapest";"14484";"14731,0";
"";"";"";"Pest megye";"5181";"5240,0";
"";"";"";"Fejér megye";"1895";"1915,5";
"";"";"";"Komárom-Esztergom megye";"1392";"1413,5";
"";"";"";"Veszprém megye";"2052";"2060,0";
"";"";"";"Gyõr-Moson-Sopron megye";"2501";"2529,0";
"";"";"";"Vas megye";"1769";"1796,5";
"";"";"";"Zala megye";"1900";"1878,0";
"";"";"";"Baranya megye";"2057";"2094,5";
"";"";"";"Somogy megye";"2008";"1970,5";
"";"";"";"Tolna megye";"1424";"1434,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"3734";"3733,5";
"";"";"";"Heves megye";"2064";"2084,0";
"";"";"";"Nógrád megye";"1344";"1341,5";
"";"";"";"Hajdú-Bihar megye";"3255";"3249,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"2702";"2664,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"2940";"2929,5";
"";"";"";"Bács-Kiskun megye";"3428";"3427,0";
"";"";"";"Békés megye";"3509";"3526,5";
"";"";"";"Csongrád megye";"3394";"3409,0";
"";"";"85 - X  éves";"Budapest";"6264";"6425,0";
"";"";"";"Pest megye";"2054";"2096,5";
"";"";"";"Fejér megye";"796";"794,5";
"";"";"";"Komárom-Esztergom megye";"540";"552,5";
"";"";"";"Veszprém megye";"868";"878,5";
"";"";"";"Gyõr-Moson-Sopron megye";"1035";"1059,0";
"";"";"";"Vas megye";"731";"737,5";
"";"";"";"Zala megye";"785";"809,5";
"";"";"";"Baranya megye";"868";"878,0";
"";"";"";"Somogy megye";"813";"828,5";
"";"";"";"Tolna megye";"588";"594,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"1500";"1518,5";
"";"";"";"Heves megye";"825";"840,0";
"";"";"";"Nógrád megye";"497";"503,0";
"";"";"";"Hajdú-Bihar megye";"1385";"1408,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"1087";"1103,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"1275";"1295,0";
"";"";"";"Bács-Kiskun megye";"1582";"1588,0";
"";"";"";"Békés megye";"1554";"1597,5";
"";"";"";"Csongrád megye";"1520";"1563,5";
"";"Nõ";"0 -  4 éves";"Budapest";"48010";"47561,5";
"";"";"";"Pest megye";"28568";"28811,0";
"";"";"";"Fejér megye";"13287";"13203,5";
"";"";"";"Komárom-Esztergom megye";"9303";"9259,0";
"";"";"";"Veszprém megye";"11121";"11020,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12071";"12007,0";
"";"";"";"Vas megye";"7561";"7549,0";
"";"";"";"Zala megye";"8289";"8175,5";
"";"";"";"Baranya megye";"11895";"11874,0";
"";"";"";"Somogy megye";"9770";"9818,5";
"";"";"";"Tolna megye";"7437";"7400,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24530";"24340,0";
"";"";"";"Heves megye";"9129";"9019,5";
"";"";"";"Nógrád megye";"6412";"6371,0";
"";"";"";"Hajdú-Bihar megye";"18439";"18341,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19585";"19429,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13023";"12920,0";
"";"";"";"Bács-Kiskun megye";"16454";"16380,0";
"";"";"";"Békés megye";"11593";"11519,0";
"";"";"";"Csongrád megye";"12220";"12197,5";
"";"";"5 - 9  éves";"Budapest";"48277";"47955,0";
"";"";"";"Pest megye";"28413";"28566,5";
"";"";"";"Fejér megye";"13083";"13110,0";
"";"";"";"Komárom-Esztergom megye";"9666";"9643,5";
"";"";"";"Veszprém megye";"11814";"11766,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12520";"12506,5";
"";"";"";"Vas megye";"7788";"7783,0";
"";"";"";"Zala megye";"8897";"8833,0";
"";"";"";"Baranya megye";"12078";"12041,5";
"";"";"";"Somogy megye";"9643";"9628,5";
"";"";"";"Tolna megye";"7703";"7642,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24689";"24666,0";
"";"";"";"Heves megye";"9575";"9528,0";
"";"";"";"Nógrád megye";"6624";"6604,5";
"";"";"";"Hajdú-Bihar megye";"17669";"17753,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20607";"20573,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12926";"12915,0";
"";"";"";"Bács-Kiskun megye";"16479";"16452,0";
"";"";"";"Békés megye";"11713";"11664,5";
"";"";"";"Csongrád megye";"12067";"12083,5";
"";"";"10 - 14 éves";"Budapest";"60319";"58059,0";
"";"";"";"Pest megye";"33330";"32559,0";
"";"";"";"Fejér megye";"15767";"15320,0";
"";"";"";"Komárom-Esztergom megye";"11105";"10793,0";
"";"";"";"Veszprém megye";"14243";"13838,0";
"";"";"";"Gyõr-Moson-Sopron megye";"15551";"15100,5";
"";"";"";"Vas megye";"9695";"9454,0";
"";"";"";"Zala megye";"10639";"10422,0";
"";"";"";"Baranya megye";"14176";"13860,0";
"";"";"";"Somogy megye";"11584";"11248,0";
"";"";"";"Tolna megye";"8790";"8602,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"27561";"26936,0";
"";"";"";"Heves megye";"11373";"11081,0";
"";"";"";"Nógrád megye";"7441";"7254,5";
"";"";"";"Hajdú-Bihar megye";"20174";"19636,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"22364";"21982,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"15289";"14934,5";
"";"";"";"Bács-Kiskun megye";"18613";"18231,0";
"";"";"";"Békés megye";"13462";"13123,0";
"";"";"";"Csongrád megye";"14394";"13968,5";
"";"";"15 - 19 éves";"Budapest";"83244";"84421,0";
"";"";"";"Pest megye";"40608";"40992,0";
"";"";"";"Fejér megye";"17823";"17980,5";
"";"";"";"Komárom-Esztergom megye";"13063";"13162,5";
"";"";"";"Veszprém megye";"15683";"15729,0";
"";"";"";"Gyõr-Moson-Sopron megye";"18582";"18755,5";
"";"";"";"Vas megye";"10797";"10813,0";
"";"";"";"Zala megye";"11843";"11937,5";
"";"";"";"Baranya megye";"17329";"17455,0";
"";"";"";"Somogy megye";"13311";"13340,0";
"";"";"";"Tolna megye";"9922";"9930,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"30313";"30390,0";
"";"";"";"Heves megye";"12925";"13063,5";
"";"";"";"Nógrád megye";"8388";"8415,0";
"";"";"";"Hajdú-Bihar megye";"23955";"24065,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"24135";"24008,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"16982";"17059,5";
"";"";"";"Bács-Kiskun megye";"21665";"21605,0";
"";"";"";"Békés megye";"15834";"15807,0";
"";"";"";"Csongrád megye";"18482";"18640,5";
"";"";"20 - 24 éves";"Budapest";"75476";"75253,0";
"";"";"";"Pest megye";"33033";"33304,0";
"";"";"";"Fejér megye";"14361";"14460,0";
"";"";"";"Komárom-Esztergom megye";"10209";"10270,5";
"";"";"";"Veszprém megye";"12587";"12680,0";
"";"";"";"Gyõr-Moson-Sopron megye";"14503";"14683,5";
"";"";"";"Vas megye";"9424";"9433,5";
"";"";"";"Zala megye";"9371";"9448,5";
"";"";"";"Baranya megye";"14909";"14979,5";
"";"";"";"Somogy megye";"10901";"10945,0";
"";"";"";"Tolna megye";"7837";"7890,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23900";"23955,0";
"";"";"";"Heves megye";"10460";"10505,0";
"";"";"";"Nógrád megye";"6613";"6639,5";
"";"";"";"Hajdú-Bihar megye";"20488";"20460,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19094";"19221,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"12766";"12894,5";
"";"";"";"Bács-Kiskun megye";"17363";"17558,0";
"";"";"";"Békés megye";"12245";"12222,0";
"";"";"";"Csongrád megye";"16324";"16273,5";
"";"";"25 - 29 éves";"Budapest";"64503";"66525,0";
"";"";"";"Pest megye";"28313";"29202,5";
"";"";"";"Fejér megye";"12688";"12898,5";
"";"";"";"Komárom-Esztergom megye";"9647";"9747,5";
"";"";"";"Veszprém megye";"11407";"11523,5";
"";"";"";"Gyõr-Moson-Sopron megye";"12148";"12402,5";
"";"";"";"Vas megye";"7869";"8086,0";
"";"";"";"Zala megye";"8681";"8738,5";
"";"";"";"Baranya megye";"13142";"13295,5";
"";"";"";"Somogy megye";"9656";"9802,0";
"";"";"";"Tolna megye";"7374";"7456,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"21921";"21971,5";
"";"";"";"Heves megye";"9070";"9166,5";
"";"";"";"Nógrád megye";"6407";"6397,5";
"";"";"";"Hajdú-Bihar megye";"17464";"17814,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17042";"17201,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11762";"11848,0";
"";"";"";"Bács-Kiskun megye";"15756";"15914,5";
"";"";"";"Békés megye";"11127";"11291,5";
"";"";"";"Csongrád megye";"13044";"13498,0";
"";"";"30 - 34 éves";"Budapest";"57524";"57171,0";
"";"";"";"Pest megye";"29599";"29311,0";
"";"";"";"Fejér megye";"13987";"13687,5";
"";"";"";"Komárom-Esztergom megye";"10172";"10028,0";
"";"";"";"Veszprém megye";"12521";"12307,0";
"";"";"";"Gyõr-Moson-Sopron megye";"13205";"12915,0";
"";"";"";"Vas megye";"8762";"8510,5";
"";"";"";"Zala megye";"10067";"9850,0";
"";"";"";"Baranya megye";"13943";"13697,5";
"";"";"";"Somogy megye";"10928";"10680,5";
"";"";"";"Tolna megye";"8086";"7907,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24577";"24126,5";
"";"";"";"Heves megye";"10321";"10084,0";
"";"";"";"Nógrád megye";"7170";"7057,0";
"";"";"";"Hajdú-Bihar megye";"18272";"17882,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"19218";"18779,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"12908";"12618,5";
"";"";"";"Bács-Kiskun megye";"17381";"17035,5";
"";"";"";"Békés megye";"12206";"11940,0";
"";"";"";"Csongrád megye";"13371";"13052,5";
"";"";"35 - 39 éves";"Budapest";"84503";"80455,0";
"";"";"";"Pest megye";"39442";"38625,0";
"";"";"";"Fejér megye";"18221";"17962,5";
"";"";"";"Komárom-Esztergom megye";"13309";"13054,0";
"";"";"";"Veszprém megye";"15984";"15781,0";
"";"";"";"Gyõr-Moson-Sopron megye";"17892";"17574,5";
"";"";"";"Vas megye";"11308";"11176,0";
"";"";"";"Zala megye";"12909";"12722,0";
"";"";"";"Baranya megye";"17669";"17495,5";
"";"";"";"Somogy megye";"14282";"14037,5";
"";"";"";"Tolna megye";"10731";"10591,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"30095";"29688,5";
"";"";"";"Heves megye";"13657";"13437,0";
"";"";"";"Nógrád megye";"9070";"8858,0";
"";"";"";"Hajdú-Bihar megye";"22548";"22410,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"23185";"23061,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"17238";"16970,0";
"";"";"";"Bács-Kiskun megye";"21982";"21811,5";
"";"";"";"Békés megye";"16546";"16255,0";
"";"";"";"Csongrád megye";"17926";"17602,5";
"";"";"40 - 44 éves";"Budapest";"81222";"82515,5";
"";"";"";"Pest megye";"38464";"38957,5";
"";"";"";"Fejér megye";"15976";"16174,5";
"";"";"";"Komárom-Esztergom megye";"12075";"12172,5";
"";"";"";"Veszprém megye";"13949";"14166,5";
"";"";"";"Gyõr-Moson-Sopron megye";"16437";"16597,0";
"";"";"";"Vas megye";"10430";"10503,5";
"";"";"";"Zala megye";"11248";"11417,5";
"";"";"";"Baranya megye";"15579";"15676,5";
"";"";"";"Somogy megye";"13302";"13339,0";
"";"";"";"Tolna megye";"9643";"9729,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"27008";"27322,5";
"";"";"";"Heves megye";"12516";"12657,5";
"";"";"";"Nógrád megye";"8114";"8266,0";
"";"";"";"Hajdú-Bihar megye";"20225";"20344,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"20780";"20826,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"15417";"15590,0";
"";"";"";"Bács-Kiskun megye";"19725";"19906,0";
"";"";"";"Békés megye";"15189";"15264,0";
"";"";"";"Csongrád megye";"16759";"16883,0";
"";"";"45 - 49 éves";"Budapest";"79591";"79891,0";
"";"";"";"Pest megye";"32709";"33362,5";
"";"";"";"Fejér megye";"12936";"13161,5";
"";"";"";"Komárom-Esztergom megye";"9999";"10170,5";
"";"";"";"Veszprém megye";"11592";"11754,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13768";"14055,5";
"";"";"";"Vas megye";"8647";"8830,5";
"";"";"";"Zala megye";"9217";"9405,0";
"";"";"";"Baranya megye";"13150";"13391,0";
"";"";"";"Somogy megye";"10650";"10960,5";
"";"";"";"Tolna megye";"7909";"8090,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23093";"23211,0";
"";"";"";"Heves megye";"10906";"10953,5";
"";"";"";"Nógrád megye";"7531";"7456,0";
"";"";"";"Hajdú-Bihar megye";"16800";"16988,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"15688";"16181,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13018";"13101,5";
"";"";"";"Bács-Kiskun megye";"17741";"17855,5";
"";"";"";"Békés megye";"12823";"12965,5";
"";"";"";"Csongrád megye";"15133";"15245,0";
"";"";"50 - 54 éves";"Budapest";"66679";"67963,5";
"";"";"";"Pest megye";"30377";"30673,0";
"";"";"";"Fejér megye";"13174";"13157,5";
"";"";"";"Komárom-Esztergom megye";"10382";"10394,0";
"";"";"";"Veszprém megye";"11921";"11809,0";
"";"";"";"Gyõr-Moson-Sopron megye";"12916";"12960,5";
"";"";"";"Vas megye";"8438";"8466,5";
"";"";"";"Zala megye";"9510";"9381,0";
"";"";"";"Baranya megye";"13455";"13415,5";
"";"";"";"Somogy megye";"11050";"10954,5";
"";"";"";"Tolna megye";"7925";"7838,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24286";"24077,5";
"";"";"";"Heves megye";"11083";"11064,0";
"";"";"";"Nógrád megye";"7615";"7613,0";
"";"";"";"Hajdú-Bihar megye";"16103";"16187,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"15583";"15359,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"13674";"13592,5";
"";"";"";"Bács-Kiskun megye";"17202";"17100,0";
"";"";"";"Békés megye";"13171";"13116,5";
"";"";"";"Csongrád megye";"13866";"13967,0";
"";"";"55 - 59 éves";"Budapest";"58759";"58283,5";
"";"";"";"Pest megye";"27917";"27969,5";
"";"";"";"Fejér megye";"13013";"12947,5";
"";"";"";"Komárom-Esztergom megye";"9569";"9507,5";
"";"";"";"Veszprém megye";"11152";"11184,0";
"";"";"";"Gyõr-Moson-Sopron megye";"12230";"12232,0";
"";"";"";"Vas megye";"7775";"7706,5";
"";"";"";"Zala megye";"9260";"9269,5";
"";"";"";"Baranya megye";"13137";"13030,0";
"";"";"";"Somogy megye";"10791";"10713,5";
"";"";"";"Tolna megye";"7624";"7574,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"24150";"24092,0";
"";"";"";"Heves megye";"10780";"10741,5";
"";"";"";"Nógrád megye";"7400";"7410,5";
"";"";"";"Hajdú-Bihar megye";"15728";"15648,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"16231";"16182,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"13370";"13283,5";
"";"";"";"Bács-Kiskun megye";"16825";"16846,0";
"";"";"";"Békés megye";"12756";"12709,5";
"";"";"";"Csongrád megye";"12774";"12795,5";
"";"";"60 - 64 éves";"Budapest";"63894";"62749,0";
"";"";"";"Pest megye";"27718";"27633,5";
"";"";"";"Fejér megye";"12288";"12337,0";
"";"";"";"Komárom-Esztergom megye";"9160";"9183,5";
"";"";"";"Veszprém megye";"11031";"11049,0";
"";"";"";"Gyõr-Moson-Sopron megye";"12806";"12695,0";
"";"";"";"Vas megye";"8518";"8451,0";
"";"";"";"Zala megye";"10044";"9949,0";
"";"";"";"Baranya megye";"13200";"13050,0";
"";"";"";"Somogy megye";"11184";"11132,5";
"";"";"";"Tolna megye";"7955";"7880,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"23108";"23020,5";
"";"";"";"Heves megye";"11077";"11108,0";
