"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Férfi";35;"Hajdú-Bihar megye";21311;21663
1990;"Férfi";35;"Szabolcs-Szatmár-Bereg megye";22742;23011
1990;"Férfi";35;"Jász-Nagykun-Szolnok megye";16831;17087,5
1990;"Férfi";35;"Bács-Kiskun megye";21412;21596,5
1990;"Férfi";35;"Békés megye";16323;16513
1990;"Férfi";35;"Csongrád megye";17178;17353
1990;"Férfi";40;"Budapest";73252;73444
1990;"Férfi";40;"Pest megye";35860;36583,5
1990;"Férfi";40;"Fejér megye";14424;14910
1990;"Férfi";40;"Komárom-Esztergom megye";11105;11346
1990;"Férfi";40;"Veszprém megye";12931;13287,5
1990;"Férfi";40;"Gyõr-Moson-Sopron megye";15084;15357,5
1990;"Férfi";40;"Vas megye";9908;10179
1990;"Férfi";40;"Zala megye";10172;10458,5
1990;"Férfi";40;"Baranya megye";13432;13865,5
1990;"Férfi";40;"Somogy megye";11750;12101,5
1990;"Férfi";40;"Tolna megye";8685;8976,5
1990;"Férfi";40;"Borsod-Abaúj-Zemplén megye";23646;24322,5
1990;"Férfi";40;"Heves megye";11106;11399
1990;"Férfi";40;"Nógrád megye";7467;7621
1990;"Férfi";40;"Hajdú-Bihar megye";17613;18136,5
1990;"Férfi";40;"Szabolcs-Szatmár-Bereg megye";17835;18611,5
1990;"Férfi";40;"Jász-Nagykun-Szolnok megye";13855;14287
1990;"Férfi";40;"Bács-Kiskun megye";18587;18983
1990;"Férfi";40;"Békés megye";13842;14286
1990;"Férfi";40;"Csongrád megye";14889;15224,5
1990;"Férfi";45;"Budapest";69169;69376,5
1990;"Férfi";45;"Pest megye";32459;32540,5
1990;"Férfi";45;"Fejér megye";12919;12836
1990;"Férfi";45;"Komárom-Esztergom megye";10676;10550
1990;"Férfi";45;"Veszprém megye";12159;12035,5
1990;"Férfi";45;"Gyõr-Moson-Sopron megye";13613;13624
1990;"Férfi";45;"Vas megye";8638;8608
1990;"Férfi";45;"Zala megye";9054;9030
1990;"Férfi";45;"Baranya megye";12864;12663
1990;"Férfi";45;"Somogy megye";10306;10315,5
1990;"Férfi";45;"Tolna megye";7794;7714
1990;"Férfi";45;"Borsod-Abaúj-Zemplén megye";22941;22518,5
1990;"Férfi";45;"Heves megye";10561;10436,5
1990;"Férfi";45;"Nógrád megye";7516;7415,5
1990;"Férfi";45;"Hajdú-Bihar megye";15773;15638
1990;"Férfi";45;"Szabolcs-Szatmár-Bereg megye";14658;14419,5
1990;"Férfi";45;"Jász-Nagykun-Szolnok megye";13237;13049,5
1990;"Férfi";45;"Bács-Kiskun megye";16987;16951
1990;"Férfi";45;"Békés megye";12681;12557
1990;"Férfi";45;"Csongrád megye";14139;14033
1990;"Férfi";50;"Budapest";51407;52118,5
1990;"Férfi";50;"Pest megye";25931;26222
1990;"Férfi";50;"Fejér megye";11320;11302
1990;"Férfi";50;"Komárom-Esztergom megye";9303;9369
1990;"Férfi";50;"Veszprém megye";10286;10371
1990;"Férfi";50;"Gyõr-Moson-Sopron megye";10620;10828
1990;"Férfi";50;"Vas megye";7108;7213,5
1990;"Férfi";50;"Zala megye";7814;7840
1990;"Férfi";50;"Baranya megye";12179;12143
1990;"Férfi";50;"Somogy megye";9100;9117
1990;"Férfi";50;"Tolna megye";6948;6943
