"A továbbszámított népesség száma megyék és a település jogállása szerint"
"Magyaroszág lakónépessége"



" ";"Mutatók";
"Idõszak";"Nem";"Korév";"Terület";"Népesség száma január 1-jén (fõ)";"Évközepi népesség száma (fõ)";
"";"";"";"Vas megye";"5118";"5197,5";
"";"";"";"Zala megye";"5224";"5201,5";
"";"";"";"Baranya megye";"7606";"7653,5";
"";"";"";"Somogy megye";"6360";"6386,0";
"";"";"";"Tolna megye";"4839";"4849,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"16347";"16477,0";
"";"";"";"Heves megye";"6404";"6483,0";
"";"";"";"Nógrád megye";"3962";"4018,0";
"";"";"";"Hajdú-Bihar megye";"12660";"12800,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"13959";"14023,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"8531";"8588,0";
"";"";"";"Bács-Kiskun megye";"11257";"11349,0";
"";"";"";"Békés megye";"6667";"6668,0";
"";"";"";"Csongrád megye";"8403";"8468,5";
"";"";"5 - 9  éves";"Budapest";"40029";"39929,5";
"";"";"";"Pest megye";"34682";"34769,0";
"";"";"";"Fejér megye";"9749";"9671,5";
"";"";"";"Komárom-Esztergom megye";"7050";"7002,5";
"";"";"";"Veszprém megye";"7754";"7710,0";
"";"";"";"Gyõr-Moson-Sopron megye";"10952";"11034,5";
"";"";"";"Vas megye";"5357";"5336,0";
"";"";"";"Zala megye";"5859";"5750,5";
"";"";"";"Baranya megye";"8302";"8160,5";
"";"";"";"Somogy megye";"6608";"6512,5";
"";"";"";"Tolna megye";"4862";"4805,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"16330";"16125,5";
"";"";"";"Heves megye";"6803";"6740,0";
"";"";"";"Nógrád megye";"4197";"4118,0";
"";"";"";"Hajdú-Bihar megye";"12606";"12429,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"14184";"13919,0";
"";"";"";"Jász-Nagykun-Szolnok megye";"8578";"8452,5";
"";"";"";"Bács-Kiskun megye";"11782";"11644,5";
"";"";"";"Békés megye";"7075";"6966,0";
"";"";"";"Csongrád megye";"8783";"8713,0";
"";"";"10 - 14 éves";"Budapest";"34681";"35093,0";
"";"";"";"Pest megye";"34626";"34928,5";
"";"";"";"Fejér megye";"10206";"10240,0";
"";"";"";"Komárom-Esztergom megye";"7147";"7143,0";
"";"";"";"Veszprém megye";"8232";"8207,0";
"";"";"";"Gyõr-Moson-Sopron megye";"11125";"11223,0";
"";"";"";"Vas megye";"5666";"5688,0";
"";"";"";"Zala megye";"5949";"6026,0";
"";"";"";"Baranya megye";"8497";"8531,0";
"";"";"";"Somogy megye";"7385";"7353,0";
"";"";"";"Tolna megye";"5192";"5165,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"17381";"17292,5";
"";"";"";"Heves megye";"7253";"7244,0";
"";"";"";"Nógrád megye";"4820";"4759,5";
"";"";"";"Hajdú-Bihar megye";"13634";"13546,5";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"15751";"15646,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"9284";"9282,5";
"";"";"";"Bács-Kiskun megye";"12362";"12367,0";
"";"";"";"Békés megye";"8043";"7930,5";
"";"";"";"Csongrád megye";"9327";"9334,5";
"";"";"15 - 19 éves";"Budapest";"33807";"33821,0";
"";"";"";"Pest megye";"31971";"32164,0";
"";"";"";"Fejér megye";"9857";"9813,0";
"";"";"";"Komárom-Esztergom megye";"7187";"7210,0";
"";"";"";"Veszprém megye";"7854";"7846,5";
"";"";"";"Gyõr-Moson-Sopron megye";"10689";"10758,5";
"";"";"";"Vas megye";"5930";"5925,0";
"";"";"";"Zala megye";"5999";"5946,5";
"";"";"";"Baranya megye";"9171";"9151,0";
"";"";"";"Somogy megye";"7702";"7603,5";
"";"";"";"Tolna megye";"5142";"5125,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"18647";"18378,0";
"";"";"";"Heves megye";"7969";"7931,5";
"";"";"";"Nógrád megye";"4902";"4879,5";
"";"";"";"Hajdú-Bihar megye";"14812";"14833,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"16822";"16617,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"9696";"9606,0";
"";"";"";"Bács-Kiskun megye";"12658";"12613,0";
"";"";"";"Békés megye";"8713";"8634,0";
"";"";"";"Csongrád megye";"9809";"9725,5";
"";"";"20 - 24 éves";"Budapest";"49854";"49041,5";
"";"";"";"Pest megye";"35699";"35188,5";
"";"";"";"Fejér megye";"11916";"11677,5";
"";"";"";"Komárom-Esztergom megye";"8522";"8402,0";
"";"";"";"Veszprém megye";"9965";"9774,5";
"";"";"";"Gyõr-Moson-Sopron megye";"13391";"13161,5";
"";"";"";"Vas megye";"7058";"6991,5";
"";"";"";"Zala megye";"6927";"6820,5";
"";"";"";"Baranya megye";"11673";"11584,0";
"";"";"";"Somogy megye";"8867";"8752,0";
"";"";"";"Tolna megye";"6042";"5874,0";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20895";"20578,0";
"";"";"";"Heves megye";"8518";"8442,5";
"";"";"";"Nógrád megye";"5422";"5356,0";
"";"";"";"Hajdú-Bihar megye";"17456";"17169,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"18897";"18629,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11255";"11062,5";
"";"";"";"Bács-Kiskun megye";"14861";"14521,5";
"";"";"";"Békés megye";"9886";"9690,0";
"";"";"";"Csongrád megye";"12969";"12803,0";
"";"";"25 - 29 éves";"Budapest";"62998";"63294,0";
"";"";"";"Pest megye";"35478";"35988,0";
"";"";"";"Fejér megye";"12582";"12698,0";
"";"";"";"Komárom-Esztergom megye";"8985";"9018,5";
"";"";"";"Veszprém megye";"9361";"9402,5";
"";"";"";"Gyõr-Moson-Sopron megye";"14801";"14989,0";
"";"";"";"Vas megye";"7312";"7289,0";
"";"";"";"Zala megye";"6788";"6741,0";
"";"";"";"Baranya megye";"11123";"11167,5";
"";"";"";"Somogy megye";"8261";"8261,0";
"";"";"";"Tolna megye";"6292";"6247,5";
"";"";"";"Borsod-Abaúj-Zemplén megye";"20132";"20120,0";
"";"";"";"Heves megye";"8079";"8099,5";
"";"";"";"Nógrád megye";"5338";"5369,5";
"";"";"";"Hajdú-Bihar megye";"17291";"17316,0";
"";"";"";"Szabolcs-Szatmár-Bereg megye";"17374";"17282,5";
"";"";"";"Jász-Nagykun-Szolnok megye";"11166";"11107,5";
"";"";"";"Bács-Kiskun megye";"14716";"14709,5";
"";"";"";"Békés megye";"9086";"9035,0";
"";"";"";"Csongrád megye";"13112";"13172,5";
